"mirname" "p.value"
"hsa-miR-625" "0,016457424"
"hsa-miR-548d-5p" "0,016512009"
"HS_155" "0,016566594"
"HS_284.1" "0,016621179"
"hsa-miR-33b*" "0,016730349"
"hsa-miR-594:9.1" "0,01683952"
"hsa-miR-206" "0,01694869"
"hsa-miR-183*" "0,017003275"
"hsa-miR-18b" "0,01705786"
"hsa-miR-519b-3p" "0,017167031"
"hsa-miR-496" "0,017221616"
"hsa-miR-199a*:9.1" "0,017276201"
"hsa-miR-130b" "0,017330786"
"hsa-miR-1303" "0,017494541"
"hsa-miR-582-5p" "0,017931223"
"hsa-miR-560:9.1" "0,017985808"
"hsa-miR-144:9.1" "0,018094978"
"HS_26.1" "0,018204148"
"hsa-miR-625*" "0,018367904"
"hsa-miR-877" "0,018531659"
"hsa-miR-151:9.1" "0,018695415"
"HS_198" "0,01875"
"hsa-miR-650" "0,019077511"
"hsa-miR-199a-3p,hsa-miR-199b-3p" "0,019132096"
"hsa-miR-938" "0,019241266"
"hsa-miR-142-3p" "0,019295852"
"HS_74" "0,019350437"
"hsa-miR-191" "0,019405022"
"hsa-miR-7-1*" "0,019623362"
"HS_157" "0,020114629"
"hsa-miR-1180" "0,020196507"
"hsa-miR-199b-5p" "0,020278384"
"hsa-miR-1226" "0,020332969"
"hsa-miR-122" "0,020387555"
"HS_303_a" "0,020496725"
"hsa-miR-34b" "0,020769651"
"hsa-miR-617" "0,020878821"
"hsa-miR-421" "0,020987991"
"HS_18" "0,021151747"
"hsa-miR-187*" "0,021206332"
"hsa-miR-1260" "0,021260917"
"HS_101" "0,021479258"
"HS_169" "0,021533843"
"hsa-miR-1275" "0,021697598"
"hsa-miR-636" "0,021806769"
"hsa-miR-367*" "0,022079694"
"hsa-miR-15b" "0,02235262"
"HS_13" "0,022516376"
"hsa-miR-93" "0,022570961"
"HS_263.1" "0,022625546"
"hsa-miR-144" "0,022734716"
"hsa-miR-199a-5p" "0,022953057"
"hsa-miR-330-3p" "0,023062227"
"HS_105" "0,023498908"
"hsa-miR-616*" "0,023553493"
"hsa-miR-146a" "0,023608079"
"HS_197" "0,023990175"
"hsa-miR-28-5p" "0,024099345"
"HS_40" "0,024317686"
"hsa-miR-26a-1*" "0,024372271"
"hsa-miR-362-3p" "0,024536026"
"HS_115" "0,024645197"
"hsa-miR-431" "0,024754367"
"hsa-miR-744" "0,024972707"
"hsa-miR-92a" "0,025027293"
"solexa-603-1846" "0,025354803"
"HS_194" "0,025791485"
"hsa-miR-1227" "0,025900655"
"HS_17" "0,026118996"
"hsa-miR-339-3p" "0,026664847"
"HS_215" "0,026992358"
"hsa-miR-1" "0,027046943"
"hsa-miR-604" "0,027210699"
"hsa-miR-1287" "0,02764738"
"HS_278" "0,027701965"
"hsa-miR-149" "0,02775655"
"hsa-miR-651" "0,027920306"
"HS_24" "0,028138646"
"hsa-miR-647" "0,028575328"
"hsa-miR-106a" "0,028739083"
"hsa-miR-139-3p" "0,028793668"
"hsa-miR-485-3p" "0,028848253"
"hsa-miR-484" "0,029066594"
"hsa-miR-940" "0,029121179"
"HS_48.1" "0,029175764"
"hsa-miR-1267" "0,029230349"
"HS_188" "0,029394105"
"hsa-miR-671-3p" "0,029612445"
"hsa-miR-532-5p" "0,029830786"
"hsa-miR-943" "0,029939956"
"HS_280_a" "0,029994541"
"hsa-miR-548b-5p" "0,030158297"
"hsa-miR-1277" "0,030594978"
"HS_81" "0,030704148"
"HS_255" "0,031195415"
"hsa-miR-653" "0,03125"
"hsa-miR-518d-3p" "0,03135917"
"hsa-miR-433" "0,031577511"
