"mirname" "p.value"
"hsa-miR-200c" "0,347707424"
"HS_304_b" "0,347789301"
"hsa-miR-450a" "0,3492631"
"hsa-miR-99a" "0,349317686"
"hsa-miR-376a*:9.1" "0,351719432"
"HS_50" "0,352101528"
"hsa-miR-548n" "0,353084061"
"hsa-miR-522" "0,353247817"
"hsa-miR-373" "0,353575328"
"hsa-miR-1280" "0,355076419"
"HS_89" "0,355704148"
"hsa-miR-507" "0,356741266"
"hsa-miR-450b-5p" "0,357996725"
"HS_23" "0,358324236"
"hsa-miR-371-3p" "0,358378821"
"HS_108.1" "0,360398472"
"HS_187" "0,361271834"
"hsa-miR-192*" "0,361981441"
"HS_15.1" "0,362691048"
"hsa-miR-29c*" "0,364819869"
"hsa-miR-512-3p" "0,36514738"
"hsa-miR-1289" "0,365693231"
"hsa-miR-1200" "0,36683952"
"hsa-miR-516b" "0,36694869"
"HS_70" "0,367767467"
"hsa-miR-621" "0,368422489"
"HS_204.1" "0,37066048"
"hsa-miR-519a" "0,37224345"
"HS_127.1" "0,372516376"
"hsa-miR-125b-1*" "0,373389738"
"hsa-miR-105" "0,373498908"
"HS_124" "0,374863537"
"hsa-miR-615-3p" "0,3757369"
"hsa-miR-185" "0,376555677"
"hsa-miR-323-5p" "0,378902838"
"HS_154" "0,380376638"
"hsa-miR-744*" "0,380431223"
"hsa-miR-801:9.1" "0,382341703"
"HS_183.1" "0,382450873"
"hsa-miR-936" "0,383269651"
"hsa-miR-193a-5p" "0,384798035"
"HS_190" "0,385070961"
"hsa-miR-202*" "0,386326419"
"hsa-let-7g*" "0,389001092"
"hsa-miR-378*" "0,389219432"
"hsa-miR-1324" "0,389929039"
"hsa-miR-654-5p" "0,394186681"
"hsa-miR-135a" "0,395387555"
"HS_200" "0,395987991"
"hsa-miR-488" "0,396424672"
"hsa-miR-633" "0,396915939"
"HS_282" "0,398007642"
"HS_10" "0,398498908"
"hsa-miR-591" "0,3992631"
"hsa-miR-302a" "0,399536026"
"hsa-miR-574-3p" "0,399754367"
"hsa-miR-592" "0,400027293"
"hsa-miR-517a,hsa-miR-517b" "0,400136463"
"HS_221" "0,400463974"
"hsa-miR-659" "0,401228166"
"hsa-miR-455-5p" "0,402046943"
"hsa-miR-302d*" "0,402811135"
"hsa-miR-492" "0,403356987"
"solexa-7509-112" "0,403520742"
"hsa-miR-380*" "0,406741266"
"hsa-miR-515-5p" "0,408269651"
"hsa-miR-489" "0,408651747"
"solexa-8211-102" "0,40996179"
"hsa-miR-296-5p" "0,410671397"
"HS_220" "0,41143559"
"hsa-miR-100*" "0,41154476"
"hsa-miR-342-3p" "0,412418122"
"hsa-miR-661" "0,415092795"
"hsa-miR-184" "0,419022926"
"hsa-miR-1825" "0,419104803"
"HS_141" "0,420223799"
"hsa-miR-548c-3p" "0,420332969"
"HS_80" "0,422625546"
"hsa-miR-520a-3p" "0,423662664"
"hsa-miR-655" "0,430103712"
"HS_168" "0,432068777"
"hsa-miR-215" "0,432996725"
"hsa-miR-508-3p" "0,433433406"
"hsa-miR-149*" "0,434143013"
"hsa-miR-551b" "0,435070961"
"hsa-miR-155*" "0,435343886"
"hsa-miR-519c-3p" "0,436381004"
"HS_269" "0,438509825"
"hsa-miR-520c-3p,hsa-miR-520f" "0,438837336"
"hsa-miR-125b" "0,439164847"
"HS_36.1" "0,439929039"
"HS_120" "0,441239083"
"hsa-miR-549" "0,443477074"
"hsa-miR-22*" "0,444732533"
"hsa-miR-1256" "0,44566048"
"HS_192.1" "0,446697598"
"hsa-miR-152" "0,447298035"
"hsa-miR-1291" "0,447625546"
"hsa-miR-513:9.1" "0,448116812"
"HS_242" "0,450081878"
"hsa-miR-99b*" "0,450245633"
"hsa-miR-539" "0,451173581"
"hsa-miR-135a*" "0,452210699"
"hsa-miR-15a*" "0,452920306"
"HS_284" "0,456959607"
"hsa-miR-635" "0,457232533"
"hsa-miR-1264" "0,458105895"
"hsa-miR-125a-5p" "0,45889738"
"hsa-miR-429" "0,46345524"
"hsa-miR-181c" "0,46514738"
"hsa-miR-888*" "0,466512009"
"HS_164" "0,467385371"
"hsa-miR-1827" "0,468367904"
"HS_286_a" "0,472898472"
"hsa-miR-632" "0,473280568"
"hsa-miR-514" "0,475354803"
"HS_186" "0,476391921"
"solexa-3793-229" "0,476610262"
"hsa-miR-302b*" "0,477046943"
"hsa-miR-586" "0,478629913"
"hsa-miR-648" "0,479394105"
"hsa-miR-509-3p" "0,480267467"
"hsa-miR-520d:9.1" "0,480813319"
"HS_218" "0,481468341"
"hsa-miR-509-5p" "0,481632096"
"hsa-miR-600" "0,482450873"
"hsa-miR-193b*" "0,488045852"
"hsa-miR-564" "0,491075328"
"hsa-miR-297" "0,491402838"
"hsa-miR-639" "0,491566594"
"hsa-miR-611" "0,493258734"
"HS_94" "0,493913755"
"HS_137" "0,495278384"
"HS_129" "0,496042576"
"hsa-miR-122*" "0,498171397"
"hsa-miR-218" "0,498717249"
"hsa-miR-520d-5p" "0,499645197"
"hsa-miR-296-3p" "0,502101528"
"hsa-miR-548f" "0,502374454"
"HS_66" "0,503356987"
"hsa-miR-483-5p" "0,50433952"
"hsa-miR-1185" "0,504830786"
"hsa-miR-19a*" "0,505649563"
"hsa-miR-548i" "0,507505459"
"hsa-miR-128b:9.1" "0,509634279"
"hsa-miR-208a" "0,510016376"
"hsa-miR-380" "0,51143559"
"hsa-miR-518f:9.1" "0,512800218"
"HS_121" "0,514929039"
"hsa-miR-21*" "0,515584061"
"hsa-miR-26a-2*" "0,515693231"
"hsa-miR-920" "0,515966157"
"hsa-miR-95" "0,516593886"
"HS_174.1" "0,51683952"
"hsa-let-7i" "0,516894105"
"hsa-miR-203" "0,517931223"
"hsa-miR-337-5p" "0,521752183"
"hsa-miR-1248" "0,521970524"
"hsa-miR-15a" "0,524099345"
"hsa-miR-140-3p" "0,524590611"
"HS_143" "0,5257369"
"hsa-miR-548m" "0,528902838"
"hsa-miR-374b*" "0,529830786"
"hsa-miR-544" "0,531959607"
"hsa-miR-542-3p" "0,53643559"
"HS_283_b" "0,541184498"
"HS_280_b" "0,542276201"
"hsa-miR-205" "0,543204148"
"hsa-miR-1224-5p" "0,544186681"
"hsa-miR-124a:9.1" "0,546752183"
"solexa-2580-353" "0,546970524"
"HS_54" "0,548771834"
"hsa-miR-583" "0,551883188"
"hsa-miR-200b" "0,552265284"
"hsa-miR-143*" "0,55433952"
"hsa-miR-885-5p" "0,555813319"
"hsa-let-7d" "0,556195415"
"hsa-miR-654-3p" "0,556686681"
"hsa-miR-219-2-3p" "0,560098253"
"hsa-miR-26b" "0,562117904"
"HS_211" "0,562418122"
"hsa-miR-556-5p" "0,567549127"
"hsa-miR-324-3p" "0,569295852"
"hsa-miR-212" "0,569787118"
"hsa-miR-1204" "0,571806769"
"hsa-miR-890" "0,57235262"
"HS_179" "0,573826419"
"HS_69" "0,574727074"
"HS_217" "0,575027293"
"hsa-miR-562" "0,575409389"
"hsa-miR-509-3-5p" "0,578302402"
"hsa-miR-1321" "0,578411572"
"solexa-2502-366" "0,583815502"
"hsa-miR-99b" "0,588291485"
"hsa-miR-891a" "0,590584061"
"hsa-miR-340" "0,591457424"
"HS_68" "0,592385371"
"HS_21" "0,595005459"
"HS_253" "0,595060044"
"HS_140" "0,597625546"
"solexa-539-2056" "0,598062227"
"hsa-miR-873" "0,602811135"
"hsa-miR-499-3p" "0,603302402"
"HS_97" "0,605704148"
"HS_239" "0,609306769"
"hsa-miR-566" "0,610180131"
"hsa-miR-20b*" "0,614492358"
"hsa-miR-221" "0,61525655"
"HS_162" "0,616512009"
"HS_216" "0,616784934"
"hsa-miR-425*" "0,619841703"
"hsa-miR-367" "0,622570961"
"solexa-9578-86" "0,625682314"
"hsa-miR-210" "0,626610262"
"hsa-miR-130a*" "0,627210699"
"hsa-miR-664*" "0,632287118"
"hsa-miR-518f" "0,636271834"
"hsa-miR-770-5p" "0,63665393"
"hsa-miR-101" "0,639164847"
"hsa-miR-190b" "0,643258734"
"hsa-miR-23b" "0,643367904"
"hsa-miR-517a" "0,643968341"
"hsa-miR-939" "0,644732533"
"hsa-miR-602" "0,6492631"
"hsa-miR-9" "0,649563319"
"HS_267" "0,65264738"
"HS_131" "0,656522926"
"hsa-miR-340*" "0,659088428"
"hsa-miR-220a" "0,660616812"
"HS_161" "0,664001092"
"hsa-miR-329" "0,671260917"
"HS_122.1" "0,673498908"
"HS_32" "0,674317686"
"hsa-miR-548h" "0,675791485"
"hsa-miR-22" "0,676118996"
"hsa-miR-891b" "0,677101528"
"hsa-miR-802" "0,677620087"
"hsa-miR-612" "0,680867904"
"hsa-miR-548k" "0,682505459"
"hsa-miR-556-3p" "0,682723799"
"hsa-miR-518b" "0,684525109"
"hsa-miR-26a" "0,687281659"
"hsa-miR-630" "0,689055677"
"hsa-miR-424" "0,691075328"
"HS_209.1" "0,691239083"
"hsa-miR-888" "0,69364083"
"hsa-miR-892b" "0,695933406"
"HS_138" "0,697734716"
"hsa-miR-182*" "0,698116812"
"hsa-miR-518c" "0,699317686"
"HS_53" "0,699590611"
"hsa-miR-106a*" "0,700463974"
"hsa-miR-137" "0,701446507"
"HS_241.1" "0,703138646"
"hsa-miR-153" "0,703575328"
"hsa-miR-597" "0,704830786"
"hsa-miR-671:9.1" "0,70805131"
"HS_41" "0,710780568"
"hsa-miR-1282" "0,711162664"
"hsa-miR-588" "0,712636463"
"hsa-miR-720" "0,713209607"
"hsa-miR-924" "0,717822052"
"hsa-miR-545*" "0,719732533"
"hsa-miR-572" "0,720878821"
"hsa-miR-130a" "0,72224345"
"hsa-miR-10b*" "0,722680131"
"hsa-miR-548p" "0,723062227"
"hsa-miR-302b" "0,724863537"
"hsa-miR-1302" "0,728575328"
"hsa-miR-26b*" "0,731304585"
"hsa-miR-515-3p" "0,734306769"
"HS_84" "0,735398472"
"HS_266.1" "0,738073144"
"hsa-miR-576-3p" "0,738946507"
"hsa-miR-29c" "0,740311135"
"hsa-miR-1288" "0,741402838"
"HS_91.1" "0,74183952"
"hsa-miR-517*" "0,742003275"
"HS_185.1" "0,743586245"
"hsa-let-7d*" "0,744022926"
"hsa-miR-671-5p" "0,745223799"
"hsa-miR-24-2*" "0,749426856"
"hsa-miR-497*" "0,752265284"
"hsa-miR-432*" "0,758706332"
"hsa-let-7f" "0,760507642"
"hsa-miR-190" "0,760889738"
"HS_152" "0,76345524"
"hsa-miR-302d" "0,764110262"
"hsa-miR-889" "0,764328603"
"hsa-miR-551b*" "0,768040393"
"HS_73.1" "0,769841703"
"hsa-miR-9*" "0,770496725"
"hsa-miR-1250" "0,773225983"
"HS_88" "0,774426856"
"hsa-miR-518a-5p,hsa-miR-527" "0,7757369"
"hsa-miR-194" "0,778739083"
"hsa-miR-652" "0,779230349"
"HS_287" "0,779885371"
"hsa-miR-520b,hsa-miR-520c-3p,hsa-miR-520f" "0,780758734"
"hsa-miR-202" "0,780922489"
"hsa-miR-30b" "0,783597162"
"hsa-miR-892a" "0,783706332"
"hsa-miR-335" "0,784879913"
"HS_283_a" "0,785780568"
"hsa-miR-27b" "0,787363537"
"hsa-miR-302c" "0,787527293"
"hsa-miR-708" "0,78834607"
"hsa-miR-30a*" "0,788400655"
"hsa-miR-1251" "0,788891921"
"HS_63" "0,794623362"
"solexa-7764-108" "0,794950873"
"hsa-miR-1304" "0,800300218"
"HS_285" "0,807669214"
"hsa-miR-453" "0,810889738"
"solexa-2526-361" "0,812090611"
"hsa-miR-208b" "0,812363537"
"hsa-miR-32" "0,815638646"
"hsa-miR-101*" "0,81683952"
"hsa-miR-501-3p" "0,821615721"
"hsa-miR-24" "0,823990175"
"solexa-7111-119" "0,831795852"
"hsa-miR-202*:9.1" "0,831905022"
"hsa-miR-141" "0,832014192"
"hsa-miR-23a" "0,833515284"
"HS_95" "0,835562227"
"hsa-miR-140-5p" "0,837854803"
"hsa-miR-887" "0,840638646"
"hsa-miR-1249" "0,841020742"
"HS_176" "0,842767467"
"hsa-miR-301b" "0,844787118"
"hsa-miR-640" "0,847734716"
"hsa-miR-132" "0,848062227"
"hsa-let-7e" "0,849099345"
"hsa-let-7a" "0,852374454"
"hsa-miR-628-5p" "0,852865721"
"hsa-miR-876-5p" "0,857669214"
"solexa-3126-285" "0,860180131"
"hsa-miR-569" "0,862308952"
"solexa-3044-295" "0,862472707"
"hsa-miR-29b" "0,865365721"
"hsa-miR-218-2*" "0,871970524"
"hsa-miR-124*" "0,87584607"
"hsa-miR-100" "0,87764738"
"hsa-miR-30e*" "0,880158297"
"HS_139" "0,880431223"
"hsa-miR-378" "0,88135917"
"hsa-miR-1279" "0,886053493"
"hsa-miR-526b" "0,887800218"
"hsa-miR-302f" "0,889001092"
"hsa-miR-30a" "0,893367904"
"HS_79.1" "0,89555131"
"hsa-miR-511" "0,895933406"
"HS_75.1" "0,896643013"
"hsa-miR-520e" "0,898225983"
"hsa-miR-34c-5p" "0,898771834"
"hsa-miR-548a-5p" "0,899590611"
"hsa-miR-646" "0,902046943"
"HS_232" "0,905731441"
"hsa-miR-575" "0,910289301"
"hsa-miR-555" "0,916184498"
"hsa-miR-513c" "0,916239083"
"hsa-miR-1259" "0,920987991"
"HS_1" "0,922843886"
"HS_114" "0,925791485"
"hsa-miR-587" "0,927429039"
"hsa-miR-192" "0,928302402"
"hsa-miR-30c" "0,928411572"
"hsa-miR-96" "0,930867904"
"solexa-51-13984" "0,93114083"
"hsa-miR-135b" "0,935398472"
"hsa-miR-541*" "0,935780568"
"HS_78" "0,941020742"
"hsa-miR-523" "0,942603712"
"HS_228.1" "0,944677948"
"HS_27" "0,945878821"
"hsa-miR-510" "0,949645197"
"hsa-miR-1225-5p" "0,951118996"
"hsa-miR-1261" "0,951337336"
"hsa-miR-532-3p" "0,957068777"
"solexa-5874-144" "0,957177948"
"hsa-miR-337-3p" "0,960343886"
"HS_67" "0,960507642"
"hsa-miR-768-5p:11.0" "0,96143559"
"hsa-miR-193a-3p" "0,962308952"
"hsa-miR-1224-3p" "0,96345524"
"hsa-miR-619" "0,965911572"
"hsa-miR-876-3p" "0,966239083"
"hsa-miR-200a" "0,967658297"
"hsa-miR-934" "0,967985808"
"hsa-miR-512-5p" "0,973171397"
"hsa-miR-224" "0,975300218"
"hsa-miR-768-3p:11.0" "0,979667031"
"hsa-miR-524-5p" "0,980103712"
"HS_146.1" "0,981086245"
"hsa-miR-300" "0,982450873"
"hsa-miR-345:9.1" "0,982560044"
"hsa-miR-545" "0,98654476"
"hsa-miR-448" "0,987691048"
"hsa-miR-1255a" "0,9882369"
"hsa-miR-1207-3p" "0,989164847"
"HS_107" "0,989437773"
"hsa-miR-181d" "0,99025655"
"hsa-miR-605" "0,990420306"
"hsa-miR-553" "0,993258734"
"HS_251.1" "0,996588428"
"hsa-miR-342-5p" "0,998771834"
"hsa-miR-649" "0,9992631"
"hsa-miR-29a" "0,999536026"
"solexa-3927-221" "1,000409389"
