"mirname"	"p.value"
"hsa-miR-320b"	0.0910677792915531
"hsa-miR-92a"	0.0941757493188011
"hsa-miR-98"	0.0946440735694823
"ebv-miR-BART7"	0.0948995231607629
"hcmv-miR-US5-2"	0.0954955722070845
"hsa-miR-495"	0.0971985694822888
"hsv2-miR-H4-5p"	0.0974540190735695
"hsa-miR-513b"	0.0994124659400545
"hsa-miR-551a"	0.100349114441417
"hsa-miR-362-5p"	0.103329359673025
"hsa-miR-591"	0.106224455040872
"hsa-miR-671-5p"	0.108438351498638
"hsa-miR-2117"	0.10954529972752
"hsa-miR-615-5p"	0.110737397820163
"hsa-miR-128"	0.112525544959128
"hsa-miR-18a"	0.11312159400545
"hsa-miR-151-3p"	0.11320674386921
"hsa-miR-613"	0.11712363760218
"hsa-miR-556-3p"	0.120103882833787
"kshv-miR-K12-4-5p"	0.121295980926431
"hsa-miR-885-3p"	0.121466280653951
"hsa-miR-574-5p"	0.121636580381471
"hsa-miR-361-5p"	0.121721730245232
"hsa-miR-1296"	0.125723773841962
"hsa-miR-641"	0.125894073569482
"hsa-miR-148b"	0.126788147138965
"hsa-miR-503"	0.128533719346049
"hsa-miR-219-2-3p"	0.128618869209809
"hsa-miR-20a+hsa-miR-20b"	0.131215940054496
"hsa-miR-194"	0.133727861035422
"hsa-miR-27a"	0.134409059945504
"hsa-miR-520g"	0.136026907356948
"hsa-miR-1297"	0.13679325613079
"hcmv-miR-UL112"	0.137133855585831
"hsa-miR-200a"	0.139773501362398
"hsa-miR-30c"	0.141221049046322
"hcmv-miR-UL70-3p"	0.142668596730245
"hsa-miR-720"	0.146202316076294
"hsa-miR-548e"	0.146415190735695
"ebv-miR-BART1-3p"	0.148118188010899
"hsa-miR-649"	0.14845878746594
"hsa-miR-2114"	0.148714237057221
"hsa-miR-580"	0.148884536784741
"hsa-miR-330-3p"	0.148969686648501
"hsa-miR-764"	0.15229053133515
"hsa-miR-553"	0.154930177111717
"hsa-miR-488"	0.155441076294278
"hsa-miR-526a+hsa-miR-518d-5p+ hsa-miR-520c-5p"	0.156462874659401
"hsa-miR-548c-5p"	0.158080722070845
"hsa-miR-611"	0.162849114441417
"hsa-miR-663"	0.164466961852861
"hsa-miR-424"	0.164892711171662
"hsa-miR-183"	0.165744209809264
"hsa-miR-624"	0.166340258855586
"hsa-miR-99a"	0.167234332425068
"hsa-miR-141"	0.173237397820163
"hsa-miR-220b"	0.173407697547684
"hsa-miR-337-5p"	0.17562159400545
"hsa-miR-2054"	0.178261239782016
"hsa-miR-1278"	0.178857288828338
"hsa-miR-1469"	0.17987908719346
"hsa-miR-514"	0.180900885558583
"hsa-miR-874"	0.181752384196185
"hsa-miR-367"	0.184434604904632
"hsa-miR-365"	0.185413828337875
"hsa-miR-584"	0.185839577656676
"hsa-miR-16"	0.186691076294278
"hsa-miR-122"	0.18745742506812
"hsa-miR-664"	0.188990122615804
"hsa-miR-9"	0.191033719346049
"hsa-miR-516b"	0.192481267029973
"hsa-miR-570"	0.193077316076294
"hsa-miR-566"	0.193673365122616
"hsa-miR-627"	0.193758514986376
"hsa-miR-1280"	0.194269414168937
"hsa-miR-363"	0.196823910081744
"hsa-miR-210"	0.19903780653951
"hsa-miR-548j"	0.199889305177112
"hsa-miR-421"	0.200059604904632
"hsa-miR-576-5p"	0.200144754768392
"hsa-miR-628-5p"	0.202188351498638
"kshv-miR-K12-3"	0.204955722070845
"hsa-miR-125a-3p"	0.205083446866485
"hsa-miR-1178"	0.205594346049046
"hsa-miR-330-5p"	0.206275544959128
"hsa-miR-600"	0.207467643051771
"hsa-miR-146b-3p"	0.207552792915531
"hsa-miR-651"	0.207637942779292
"hsa-miR-517b"	0.21087363760218
"hsa-miR-886-5p"	0.21095878746594
"hsa-miR-1247"	0.211214237057221
"hsa-miR-626"	0.212150885558583
"hsa-miR-2278"	0.212746934604905
"hsa-miR-489"	0.212832084468665
"ebv-miR-BART21-5p"	0.214449931880109
"hsa-miR-214"	0.21487568119891
"hsa-miR-924"	0.215556880108992
"hsa-miR-323-5p"	0.216748978201635
"hsa-miR-372"	0.217004427792916
"hsa-miR-215"	0.218196525885559
"hsa-let-7a"	0.221985694822888
"hsa-miR-125b"	0.223135217983651
"hsa-miR-188-5p"	0.225434264305177
"hsa-miR-1307"	0.229351158038147
"hsa-miR-519c-3p"	0.229776907356948
"hsa-miR-548a-5p"	0.23045810626703
"hsa-miR-671-3p"	0.232246253405995
"hsa-miR-521"	0.233097752043597
"hsa-miR-572"	0.236163147138965
"hsa-miR-612"	0.236588896457766
"hsa-miR-877"	0.237184945504087
"hsa-miR-184"	0.237866144414169
"hsa-miR-610"	0.23846219346049
"ebv-miR-BART8"	0.240420640326975
"hsa-miR-499-5p"	0.240676089918256
"hsa-miR-371-3p"	0.24220878746594
"hsa-miR-1276"	0.244422683923706
"hsa-miR-96"	0.244763283378747
"hsa-miR-933"	0.245189032697548
"hsa-miR-499-3p"	0.247232629427793
"hsa-miR-1255a"	0.247402929155313
"hsa-miR-1206"	0.247658378746594
"hsa-miR-633"	0.248339577656676
"hsa-miR-516a-3p"	0.252597070844687
"hsa-miR-542-5p"	0.253363419618529
"hsa-miR-512-5p"	0.254300068119891
"hsa-miR-432"	0.255236716621253
"hsa-miR-519d"	0.256003065395095
"hsa-miR-569"	0.256088215258856
"hsa-miR-24"	0.259323910081744
"hsa-miR-374a"	0.259664509536785
"hsa-miR-1272"	0.266646798365123
"hsa-miR-219-1-3p"	0.267413147138965
"hsa-miR-561"	0.268945844686649
"hsa-miR-653"	0.271840940054496
"hsa-miR-892b"	0.276183583106267
"hsa-miR-342-3p"	0.277035081743869
"hsa-miR-597"	0.278738079019074
"hsa-miR-578"	0.279504427792916
"hsa-miR-1321"	0.281718324250681
"hsa-miR-181b+hsa-miR-181d"	0.285550068119891
"hsa-miR-620"	0.286231267029973
"hsa-miR-28-3p"	0.286316416893733
"hsa-miR-149"	0.288019414168937
"hsa-miR-32"	0.289807561307902
"hsa-miR-300"	0.290318460490463
"hsa-miR-299-3p"	0.290488760217984
"hsa-miR-509-3p"	0.291680858310627
"hsa-miR-631"	0.293809604904632
"hsa-miR-887"	0.297556198910082
"hsa-miR-663b"	0.298407697547684
"hsa-miR-452"	0.298918596730245
"hsa-miR-375"	0.301387942779292
"hsa-miR-296-5p"	0.301643392370572
"hsa-miR-1323"	0.302324591280654
"kshv-miR-K12-8"	0.302409741144414
"hsv1-miR-H1"	0.303431539509537
"hsa-miR-302f"	0.303516689373297
"bkv-miR-B1-3p+jcv-miR-J1-3p"	0.308199931880109
"hsv2-miR-H3"	0.30862568119891
"hsa-miR-1233"	0.309902929155313
"hsa-miR-652"	0.310073228882834
"hsa-miR-342-5p"	0.311435626702997
"ebv-miR-BART11-3p"	0.315352520435967
"hsa-miR-200b"	0.316204019073569
"hsa-miR-1539"	0.316629768392371
"hsa-let-7f"	0.317396117166213
"hsa-miR-517a"	0.319013964577657
"hsa-miR-28-5p"	0.32029121253406
"hsa-miR-328"	0.325059604904632
"hsa-miR-301b"	0.32829529972752
"hsa-miR-516a-5p"	0.328465599455041
"hsa-miR-1912"	0.328891348773842
"hsa-miR-515-5p"	0.331020095367847
"hsa-miR-197"	0.33221219346049
"hsa-miR-616"	0.336171662125341
"hsa-miR-423-5p"	0.337491485013624
"hsa-miR-448"	0.339449931880109
"hsa-miR-1303"	0.33970538147139
"hsa-miR-146a"	0.340897479564033
"hsa-miR-541"	0.341834128065395
"hsa-miR-512-3p"	0.345580722070845
"hsa-miR-302a"	0.345665871934605
"hsa-miR-217"	0.346091621253406
"hsa-miR-337-3p"	0.346602520435967
"hsa-miR-567"	0.348646117166213
"hsa-miR-765"	0.349071866485014
"hsa-miR-577"	0.350008514986376
"hsa-miR-586"	0.35154121253406
"hsa-miR-383"	0.352563010899183
"hsa-miR-485-5p"	0.354606607629428
"hsa-miR-1257"	0.356479904632153
"hsa-miR-362-3p"	0.357842302452316
"hsv1-miR-H2-5p"	0.358012602179836
"hsa-miR-216a"	0.359715599455041
"hsa-miR-320a"	0.365250340599455
"hsa-miR-573"	0.365335490463215
"hsa-miR-1245"	0.365761239782016
"hsa-miR-1825"	0.365846389645777
"hsa-miR-376b"	0.366697888283379
"hsa-miR-1282"	0.36737908719346
"hsa-miR-662"	0.367464237057221
"hsa-miR-203"	0.368230585831063
"hsa-miR-34c-5p"	0.370189032697548
"hsa-miR-382"	0.371295980926431
"hsa-miR-1250"	0.371381130790191
"hsa-miR-208b"	0.376575272479564
"hsa-miR-23a"	0.377426771117166
"hsa-miR-1284"	0.379725817438692
"hsa-miR-508-3p"	0.382110013623978
"hsa-miR-22"	0.382535762942779
"hsa-miR-186"	0.384323910081744
"hsa-miR-922"	0.385005108991826
"hsa-miR-568"	0.38670810626703
"hsa-miR-1287"	0.387474455040872
"hsa-miR-548q"	0.390369550408719
"hsa-miR-592"	0.39045470027248
"hsa-miR-550"	0.392498297002725
"hsa-miR-583"	0.396330040871935
"hsa-miR-582-5p"	0.400587534059946
"hsa-miR-1263"	0.401013283378747
"hsa-miR-607"	0.401098433242507
"hsa-miR-559"	0.401694482288828
"hsa-miR-638"	0.403482629427793
"hsa-miR-151-5p"	0.404248978201635
"hsa-miR-486-3p"	0.408165871934605
"hsa-miR-936"	0.410379768392371
"hsa-miR-759"	0.411316416893733
"hsa-miR-615-3p"	0.412849114441417
"hsa-miR-515-3p"	0.415999659400545
"hsa-miR-645"	0.419746253405995
"hsa-miR-661"	0.420682901907357
"hsa-miR-634"	0.420768051771117
"hsa-miR-619"	0.421534400544959
"hsv2-miR-H2"	0.42196014986376
"hsa-miR-548h"	0.424174046321526
"hsa-miR-1181"	0.424855245231608
"ebv-miR-BART6-5p"	0.426217643051771
"hsa-miR-454"	0.426558242506812
"ebv-miR-BART2-5p"	0.427920640326975
"hsa-miR-596"	0.428176089918256
"hsa-miR-548p"	0.42987908719346
"hsa-miR-148a"	0.432859332425068
"hsa-miR-557"	0.439926771117166
"hsa-miR-496"	0.440097070844687
"hsa-miR-1204"	0.44133174386921
"hsa-miR-892a"	0.442225817438692
"hsa-miR-135a"	0.442481267029973
"hsa-miR-410"	0.444354564032698
"hsa-miR-190"	0.446483310626703
"hsa-miR-147"	0.449463555858311
"ebv-miR-BART19-5p"	0.450825953678474
"hsa-miR-433"	0.451847752043597
"hsa-miR-1274a"	0.452018051771117
"hsa-miR-875-3p"	0.452784400544959
"ebv-miR-BART6-3p"	0.45303985013624
"hsa-miR-519b-3p"	0.453465599455041
"hsa-miR-520b"	0.455381471389646
"hsa-miR-338-5p"	0.45687159400545
"hsa-miR-371-5p"	0.458021117166213
"hsa-miR-33b"	0.459511239782016
"hcmv-miR-UL148D"	0.459681539509537
"hsa-miR-532-5p"	0.460107288828338
"hsa-miR-331-5p"	0.463683583106267
"hsa-miR-526b"	0.467855926430518
"hsa-miR-944"	0.470154972752044
"hsa-miR-361-3p"	0.472113419618529
"hsa-miR-125a-5p"	0.475774863760218
