"mirname" "pvalue"
"hsa-miR-500a*" 0.0214771467797848
"hsa-miR-99a*" 0.0214905966898454
"hsa-miR-340" 0.0220743258298908
"hsa-miR-3944" 0.0225045812581662
"hsa-miR-3180-3p" 0.0242787855728474
"hsa-miR-3909" 0.0240919864208667
"hsa-miR-636" 0.0243362564985425
"hsa-miR-3610" 0.0245078490448703
"hsa-miR-1274a" 0.0252450619421185
"hsa-miR-222" 0.0254022677625095
"hsa-miR-875-3p" 0.0255370341915373
"hsa-miR-379" 0.027405583525055
"hsa-miR-3159" 0.0277841386532661
"hsa-miR-1226" 0.0283777399656415
"hsa-miR-1256" 0.028911166470069
"hsa-miR-380*" 0.0290690722188846
"hsa-miR-3150b" 0.0300714207575044
"hsa-miR-107" 0.0310276906752435
"hsa-miR-188-5p" 0.0360355343632946
"hsa-miR-212" 0.035454687434669
"hsa-miR-2277-3p" 0.034881244578474
"hsa-miR-2355-3p" 0.0346474255765798
"hsa-miR-28-3p" 0.0343664188672128
"hsa-miR-32" 0.0345894573890911
"hsa-miR-330-3p" 0.0350088733851725
"hsa-miR-3687" 0.0358014669695694
"hsa-miR-424" 0.0345929903328619
"hsa-miR-505*" 0.0358951205918697
"hsa-miR-548e" 0.0357357181301796
"hsa-miR-875-5p" 0.0340954160261228
"hsa-miR-222*" 0.0362784985098701
"hsa-miR-3158" 0.0367996920889968
"hsa-miR-96" 0.0370529298215981
"hsa-miR-3620" 0.037893301926059
"hsa-miR-101*" 0.0393722333956174
"hsa-miR-127-3p" 0.0391365247081123
"hsa-miR-1292" 0.0393421333440042
"hsa-miR-1538" 0.038906843520187
"hsa-miR-3130-5p" 0.0406114433389932
"hsa-miR-616" 0.0404750157007443
"hsa-miR-1260" 0.0409914109100985
"hsa-miR-3929" 0.0416135669581889
"hsa-miR-19b" 0.0454260334767203
"hsa-miR-2114*" 0.0453241123432441
"hsa-miR-522" 0.0450938438911226
"hsa-miR-197" 0.0461357408367843
"hsa-miR-190b" 0.0480461778654987
"hsa-miR-3193" 0.0482221839122499
"hsa-miR-3607-5p" 0.048344826923335
"hsa-let-7g" 0.0499785261265983
"hsa-miR-3647-3p" 0.0500786810059322
"hsa-miR-888" 0.0517862636433121
"hsa-miR-4298" 0.052711339960089
"hsa-miR-618" 0.0530588386246106
"hsa-miR-218-1*" 0.0541381058740999
"hsa-let-7a*" 0.0553217494969735
"hsa-miR-3121" 0.0560510731306804
"hsa-miR-185*" 0.0597025649074094
"hsa-miR-30b" 0.0623230162803815
"hsa-miR-3183" 0.0623007848113264
"hsa-miR-411" 0.0626013112860847
"hsa-miR-550a*" 0.0620874441243603
"hsa-miR-1276" 0.0631996052622222
"hsa-miR-497*" 0.0633552632502227
"hsa-miR-1283" 0.0641954494677965
"hsa-miR-22*" 0.0642617627676909
"hsa-miR-33a*" 0.0667445378813394
"hsa-miR-29c" 0.0674992150095247
"hsa-miR-676" 0.0677210298532605
"hsa-miR-1285" 0.0713623808948718
"hsa-miR-3160" 0.0733156310927041
"hsa-miR-548l" 0.0734085736197882
"hsa-miR-28-5p" 0.0749820743371013
"hsa-miR-3150" 0.0753270174040391
"hsa-miR-376b" 0.0754632877194683
"hsa-miR-3187" 0.0765979200325314
"hsa-miR-1272" 0.0771250555701332
"hsa-miR-1255a" 0.0781977564747156
"hsa-miR-625" 0.0802806224850678
"hsa-miR-194" 0.0814412111216507
"hsa-miR-374b" 0.0818974290376686
"hsa-miR-641" 0.0819383895743569
"hsa-miR-934" 0.0819346438558827
"hsa-miR-1294" 0.0850137478740423
"hsa-miR-132" 0.0846714604032787
"hsa-miR-92b*" 0.0852642537278951
"hsa-miR-16-1*" 0.0874363085629689
"hsa-miR-2276" 0.0874515636218659
"hsa-miR-26b*" 0.086443256594883
"hsa-miR-378c" 0.087526258603746
"hsa-miR-219-5p" 0.0890670082282818
"hsa-miR-642a" 0.0888687861337947
"hsa-miR-95" 0.0890392900743788
"hsa-miR-1226*" 0.0895478432648891
"hsa-miR-192*" 0.0927124865381967
"hsa-miR-629*" 0.0924777287150083
"hsa-let-7i*" 0.0934749279209078
"hsa-miR-1234" 0.0940576080326573
"hsa-miR-203" 0.0948069851653204
"hsa-miR-216a" 0.0939680452639742
"hsa-miR-548c-5p" 0.0944583900287758
"hsa-miR-324-3p" 0.0959215974536993
"hsa-miR-380" 0.0961534989395803
"hsa-miR-152" 0.0984690712699789
"hsa-miR-1976" 0.0989975445614295
"hsa-miR-27a" 0.0990358130600682
"hsa-miR-136*" 0.100088840640401
"hsa-miR-302a*" 0.103577405250713
"hsa-miR-34b*" 0.103740721068619
"hsa-miR-3677" 0.10286588962252
"hsa-miR-3936" 0.103280407327026
"hsa-miR-10a" 0.104732366561541
"hsa-miR-29b-2*" 0.104478261762371
"hsa-miR-190" 0.10656050312156
"hsa-let-7g*" 0.107559117212859
"hsa-miR-219-2-3p" 0.110206800000819
"hsa-miR-371-3p" 0.109677525606574
"hsa-miR-675" 0.110492521593443
"hsa-miR-548u" 0.110962768347231
"hsa-miR-708" 0.11220022486153
"hsa-miR-1237" 0.113486809723483
"hsa-miR-424*" 0.116531848726525
"hsa-miR-411*" 0.117207385241313
"hsa-miR-331-3p" 0.117770833401526
"hsa-miR-382" 0.118933194359059
"hsa-miR-548aa" 0.118656849622723
"hsa-miR-376c" 0.121088211016979
"hsa-miR-642b" 0.120807190038821
"hsa-miR-1304" 0.123584128011653
"hsa-miR-663" 0.123207268912909
"hsa-miR-1303" 0.125788393471015
"hsa-miR-1973" 0.127442365585808
"hsa-miR-23a" 0.126867045596405
"hsa-miR-3174" 0.127549956079671
"hsa-miR-3176" 0.125476773680663
"hsa-miR-374b*" 0.126301255110068
"hsa-miR-134" 0.129165878748363
"hsa-miR-195*" 0.129729231915466
"hsa-miR-3685" 0.129948348675215
"hsa-miR-1262" 0.131745594187288
"hsa-miR-30c" 0.131308314163772
"hsa-miR-1268" 0.132990034454495
"hsa-miR-3127" 0.134468407050302
"hsa-miR-361-5p" 0.139580174054535
"hsa-miR-124" 0.142196871730034
"hsa-miR-182*" 0.142205354385712
"hsa-miR-23b" 0.142050789859597
"hsa-miR-1286" 0.144417017181737
"hsa-miR-330-5p" 0.145737217055809
"hsa-miR-1914" 0.150297438273508
"hsa-miR-433" 0.149850603587699
"hsa-miR-185" 0.156557590216182
"hsa-miR-205*" 0.159504944778502
"hsa-miR-3911" 0.159423941963279
"hsa-miR-22" 0.160518893333624
"hsa-miR-192" 0.164029519390994
"hsa-miR-193a-3p" 0.163706207212646
"hsa-miR-3145" 0.16530471093706
"hsa-miR-425*" 0.165329250197242
"hsa-miR-3662" 0.166415411571947
"hsa-miR-27b*" 0.168915383592809
"hsa-miR-10a*" 0.169674738540647
"hsa-miR-331-5p" 0.170834778501311
"hsa-miR-1273d" 0.172292612115339
"hsa-miR-548s" 0.174216631613693
"hsa-miR-3942" 0.178778409450448
"hsa-miR-3928" 0.179830400590265
"hsa-miR-627" 0.181114877304635
"hsa-miR-128" 0.182316449951578
"hsa-miR-1269" 0.184314800772381
"hsa-miR-599" 0.184558262861971
"hsa-miR-339-3p" 0.187906444946836
"hsa-miR-3661" 0.188270868461329
"hsa-miR-877*" 0.187102435625036
"hsa-miR-217" 0.189636542164234
"hsa-miR-24-2*" 0.189665972314172
"hsa-miR-377" 0.192240245903728
"hsa-miR-939" 0.192450000180986
"hsa-miR-941" 0.192130336373011
"hsa-miR-21" 0.193457242783219
"hsa-miR-1301" 0.202206895133083
"hsa-miR-586" 0.204662591702195
"hsa-let-7b" 0.209959352453543
"hsa-miR-943" 0.210424704659616
"hsa-miR-224*" 0.211296890418802
"hsa-miR-4286" 0.214247524673
"hsa-miR-1227" 0.216584585011856
"hsa-miR-3065-3p" 0.220062906500413
"hsa-miR-3614-5p" 0.222796612769594
"hsa-miR-130a" 0.225013097639458
"hsa-miR-891a" 0.22517154732179
"hsa-miR-4284" 0.226297907635156
"hsa-miR-218" 0.231173652730144
"hsa-miR-2277-5p" 0.231188387844377
"hsa-miR-576-3p" 0.233529853139649
"hsa-miR-708*" 0.243196091681489
"hsa-miR-449b" 0.244651704404992
"hsa-miR-1284" 0.245811576235364
"hsa-miR-3939" 0.252979766105455
"hsa-miR-148a" 0.258401385622691
"hsa-miR-532-3p" 0.260099800162246
"hsa-miR-3940" 0.264023058964996
"hsa-miR-299-3p" 0.266249966810656
"hsa-miR-17" 0.267221690069702
"hsa-miR-2110" 0.270750633207606
"hsa-miR-3161" 0.271678072198132
"hsa-miR-3691" 0.27121307469262
"hsa-miR-935" 0.269999399987832
"hsa-miR-548h" 0.272462450855944
"hsa-miR-551a" 0.273552961904551
"hsa-miR-516a-5p" 0.275362414091151
"hsa-miR-1247" 0.27675599085078
"hsa-miR-216b" 0.276947833149305
"hsa-miR-449a" 0.278152993176514
"hsa-miR-193a-5p" 0.285559022325859
"hsa-miR-25" 0.285708543864629
